I 08/19/2011 14:36:19:898 000005b0              RhoRuby| require_compiled: rho
I 08/19/2011 14:36:19:901 000005b0              RhoRuby| require_compiled: debugger
I 08/19/2011 14:36:19:906 000005b0              RhoRuby| require_compiled: uri
I 08/19/2011 14:36:19:908 000005b0              RhoRuby| require_compiled: uri/common
I 08/19/2011 14:36:19:921 000005b0              RhoRuby| require_compiled: uri/generic
I 08/19/2011 14:36:19:931 000005b0              RhoRuby| require_compiled: uri/ftp
I 08/19/2011 14:36:19:936 000005b0              RhoRuby| require_compiled: uri/http
I 08/19/2011 14:36:19:938 000005b0              RhoRuby| require_compiled: uri/https
I 08/19/2011 14:36:19:941 000005b0              RhoRuby| require_compiled: uri/ldap
I 08/19/2011 14:36:19:943 000005b0              RhoRuby| require_compiled: uri/ldaps
I 08/19/2011 14:36:19:946 000005b0              RhoRuby| require_compiled: uri/mailto
I 08/19/2011 14:36:19:948 000005b0              RhoRuby| require_compiled: timeout
I 08/19/2011 14:36:19:951 000005b0                  APP| [Debugger] Opening connection
I 08/19/2011 14:36:20:953 000005b0                  APP| [Debugger] Unable to open connection to debugger: #<Errno::ECONNREFUSED: No connection could be made because the target machine actively refused it. - connect(2)>
I 08/19/2011 14:36:20:953 000005b0                  APP| RHO loaded
I 08/19/2011 14:36:20:953 000005b0                  APP| Calling RHO.initialize
I 08/19/2011 14:36:20:953 000005b0              RhoRuby| require_compiled: rhoappmanifest
I 08/19/2011 14:36:20:956 000005b0              RhoRuby| require_compiled: find
I 08/19/2011 14:36:20:968 000005b0                   DB| Open DB: C:/Users/ffurtmueller/workspace/git/MyDailyRhodes/MyDailyRhodes\rhosimulator/db/syncdbuser.sqlite
I 08/19/2011 14:36:20:971 000005b0            RhodesApp| Starting sync engine...
I 08/19/2011 14:36:20:971 000005b0                 Sync| sync_poll_interval: 0
I 08/19/2011 14:36:20:971 000005b0                 Sync| syncserver: http://localhost:9292/application
I 08/19/2011 14:36:20:971 000005b0                 Sync| bulksync_state: 0
I 08/19/2011 14:36:20:971 000005b0            RhodesApp| RhoRubyInitApp...
I 08/19/2011 14:36:20:971 000005b0                  APP| init_app
I 08/19/2011 14:36:20:973 000005b0              RhoRuby| require_compiled: application
I 08/19/2011 14:36:20:973 0000164c                 Sync| Starting main routine...
I 08/19/2011 14:36:20:973 0000164c                 Sync| ThreadQueue blocked for 300 seconds...
I 08/19/2011 14:36:20:973 000005b0                  APP| Current locale: de; Country code: at
I 08/19/2011 14:36:20:973 000005b0                  APP| Could not find resources for locale: de;file: C:/Users/ffurtmueller/workspace/git/MyDailyRhodes/MyDailyRhodes\app/lang/lang_
I 08/19/2011 14:36:20:973 000005b0                 Sync| Set notification. Source ID: -1;Url :http://127.0.0.1:54461/app/Settings/sync_notify; Params: 
I 08/19/2011 14:36:20:973 000005b0           HttpServer| Start HTTP server
I 08/19/2011 14:36:20:976 000005b0         AppCallbacks| addCommand: LOCAL-SERVER-STARTED
I 08/19/2011 14:36:20:976 00001e00         AppCallbacks| process command: LOCAL-SERVER-STARTED
